configuration_id,dataset_index,true_label,relu_prediction,polynomial_clear_prediction,ckks_prediction,relu_correct,polynomial_clear_correct,ckks_correct,prediction_poly_ckks_equal,logit_mae_ckks,logit_max_error_ckks,clear_margin,ckks_margin,total_seconds
chebyshev_d3_I1,112,3,3,3,3,1,1,1,1,4.3984646915336266e-05,9.520115003702756e-05,8.195243835449219,8.195322085126291,0.2118
chebyshev_d3_I1,120,5,5,5,5,1,1,1,1,6.977552626263316e-05,0.00018051346884817576,10.636552810668945,10.636641074607354,0.2125
chebyshev_d3_I1,259,6,6,0,0,1,0,0,1,3.823391883068794e-05,6.520904536699845e-05,0.10935449600219727,0.10935128506555003,0.2341
chebyshev_d3_I1,411,7,7,7,7,1,1,1,1,4.007984640941875e-05,0.00011228303129229289,3.073491096496582,3.0735245209295954,0.2095
chebyshev_d3_I1,481,9,9,9,9,1,1,1,1,4.019117463843827e-05,0.00011017526462708815,7.85233736038208,7.8524068189182,0.2156
chebyshev_d3_I1,586,0,0,0,0,1,1,1,1,2.2781500460000716e-05,4.899753158227327e-05,1.9152413606643677,1.9152636489131472,0.2131
chebyshev_d3_I1,589,4,4,4,4,1,1,1,1,3.134842050926956e-05,9.596422402502469e-05,1.5609198808670044,1.5609430165349911,0.214
chebyshev_d3_I1,603,8,8,8,8,1,1,1,1,3.6707832355675764e-05,7.26851642731674e-05,6.644739627838135,6.644793789708267,0.2103
chebyshev_d3_I1,618,5,5,5,5,1,1,1,1,5.746970528404116e-05,0.00010146316423487178,7.249388694763184,7.249445716144984,0.2007
chebyshev_d3_I1,633,2,2,2,2,1,1,1,1,5.167254312926639e-05,0.00010688736193209536,11.059054374694824,11.059143025934087,0.2074
chebyshev_d3_I1,804,0,0,0,0,1,1,1,1,3.65322606364793e-05,9.316962083971703e-05,8.153002738952637,8.153078512986939,0.2172
chebyshev_d3_I1,876,8,8,8,8,1,1,1,1,6.72271304306804e-05,0.00016914090619479794,11.518942832946777,11.519010889721681,0.2011
chebyshev_d3_I1,912,3,3,3,3,1,1,1,1,8.475604056787934e-05,0.0002013673521261694,13.701264381408691,13.701390410760201,0.2055
chebyshev_d3_I1,928,9,9,9,9,1,1,1,1,3.41120036386422e-05,8.754291162382799e-05,5.252111911773682,5.252155452223388,0.2032
chebyshev_d3_I1,949,1,1,1,1,1,1,1,1,3.0824453352362725e-05,9.613812296649371e-05,2.7730817794799805,2.7731163308076052,0.1993
chebyshev_d3_I1,1079,6,6,6,6,1,1,1,1,3.74354325713061e-05,9.07637714107068e-05,8.258817672729492,8.258888296215869,0.2026
chebyshev_d3_I1,1406,5,5,5,5,1,1,1,1,4.084280962410869e-05,8.221060566526717e-05,3.495997428894043,3.4960342813941043,0.2095
chebyshev_d3_I1,1585,2,2,2,2,1,1,1,1,6.84571165473491e-05,0.00013687788475280627,10.797728538513184,10.79780907883795,0.198
chebyshev_d3_I1,2157,2,2,2,2,1,1,1,1,7.217536117990476e-05,0.00013466376094939392,8.444839477539062,8.44490560208724,0.2049
chebyshev_d3_I1,2235,1,1,1,1,1,1,1,1,3.757584554383575e-05,6.091419748521787e-05,0.35204780101776123,0.3520548417161671,0.2035
chebyshev_d3_I1,2509,4,4,4,4,1,1,1,1,2.6485150522434497e-05,5.7052079561970004e-05,2.2537269592285156,2.2537569142553684,0.2096
chebyshev_d3_I1,2539,7,7,7,7,1,1,1,1,3.9786001595565336e-05,0.00010002949750109735,1.6102912425994873,1.6103032149446275,0.196
chebyshev_d3_I1,2548,9,9,9,9,1,1,1,1,3.3394301336236e-05,7.780580369853851e-05,5.366045951843262,5.366089460576479,0.2078
